tm1,tm2,gm_type,s1,s2,w1,w2
prairie-view,southern,REG,73,55,1,0
prairie-view,alcorn-state,REG,98,64,1,0
prairie-view,alcorn-state,CTOURN,86,66,1,0
prairie-view,grambling,CTOURN,81,71,1,0
prairie-view,texas-southern,CTOURN,92,86,1,0
purdue,fairfield,REG,90,57,1,0
purdue,ball-state,REG,84,75,1,0
purdue,appalachian-state,REG,92,70,1,0
purdue,davidson,REG,79,58,1,0
purdue,virginia-tech,REG,83,89,0,1
purdue,robert-morris,REG,84,46,1,0
purdue,florida-state,REG,72,73,0,1
purdue,michigan,REG,57,76,0,1
purdue,maryland,REG,62,60,1,0
purdue,texas,REG,68,72,0,1
purdue,notre-dame,REG,80,88,0,1
purdue,ohio,REG,95,67,1,0
purdue,belmont,REG,73,62,1,0
purdue,iowa,REG,86,70,1,0
purdue,michigan-state,REG,59,77,0,1
purdue,wisconsin,REG,84,80,1,0
purdue,rutgers,REG,89,54,1,0
purdue,indiana,REG,70,55,1,0
purdue,ohio-state,REG,79,67,1,0
purdue,michigan-state,REG,73,63,1,0
purdue,penn-state,REG,99,90,1,0
purdue,minnesota,REG,73,63,1,0
purdue,nebraska,REG,81,62,1,0
purdue,maryland,REG,56,70,0,1
purdue,penn-state,REG,76,64,1,0
purdue,indiana,REG,48,46,1,0
purdue,nebraska,REG,75,72,1,0
purdue,illinois,REG,73,56,1,0
purdue,ohio-state,REG,86,51,1,0
purdue,minnesota,REG,69,73,0,1
purdue,northwestern,REG,70,57,1,0
purdue,minnesota,CTOURN,73,75,0,1
saint-louis,southeast-missouri-state,REG,75,65,1,0
saint-louis,troy,REG,62,58,1,0
saint-louis,north-alabama,REG,69,58,1,0
saint-louis,seton-hall,REG,66,64,1,0
saint-louis,pittsburgh,REG,73,75,0,1
saint-louis,central-arkansas,REG,73,61,1,0
saint-louis,butler,REG,64,52,1,0
saint-louis,southern-illinois,REG,56,61,0,1
saint-louis,oregon-state,REG,65,61,1,0
saint-louis,houston,REG,64,68,0,1
saint-louis,north-carolina-central,REG,74,65,1,0
saint-louis,florida-state,REG,59,81,0,1
saint-louis,appalachian-state,REG,83,55,1,0
saint-louis,rhode-island,REG,60,53,1,0
saint-louis,massachusetts,REG,65,62,1,0
saint-louis,la-salle,REG,71,64,1,0
saint-louis,fordham,REG,63,60,1,0
saint-louis,saint-josephs,REG,68,57,1,0
saint-louis,duquesne,REG,73,77,0,1
saint-louis,davidson,REG,53,54,0,1
saint-louis,richmond,REG,81,84,0,1
saint-louis,rhode-island,REG,54,65,0,1
saint-louis,dayton,REG,73,60,1,0
saint-louis,saint-josephs,REG,61,91,0,1
saint-louis,george-washington,REG,73,58,1,0
saint-louis,la-salle,REG,62,49,1,0
saint-louis,dayton,REG,62,70,0,1
saint-louis,virginia-commonwealth,REG,65,71,0,1
saint-louis,george-mason,REG,81,71,1,0
saint-louis,duquesne,REG,85,75,1,0
saint-louis,st-bonaventure,REG,57,66,0,1
saint-louis,richmond,CTOURN,71,68,1,0
saint-louis,dayton,CTOURN,64,55,1,0
saint-louis,davidson,CTOURN,67,44,1,0
saint-louis,st-bonaventure,CTOURN,55,53,1,0
saint-marys-ca,mcneese-state,REG,87,65,1,0
saint-marys-ca,utah-valley,REG,92,63,1,0
saint-marys-ca,new-mexico-state,REG,73,58,1,0
saint-marys-ca,utah-state,REG,63,80,0,1
saint-marys-ca,mississippi-state,REG,57,61,0,1
saint-marys-ca,harvard,REG,68,74,0,1
saint-marys-ca,california-irvine,REG,75,80,0,1
saint-marys-ca,california,REG,84,71,1,0
saint-marys-ca,bethune-cookman,REG,93,61,1,0
saint-marys-ca,new-mexico,REG,85,60,1,0
saint-marys-ca,cal-state-fullerton,REG,81,66,1,0
saint-marys-ca,louisiana-state,REG,74,78,0,1
saint-marys-ca,bucknell,REG,85,56,1,0
saint-marys-ca,western-kentucky,REG,68,71,0,1
saint-marys-ca,san-jose-state,REG,75,45,1,0
saint-marys-ca,san-francisco,REG,72,76,0,1
saint-marys-ca,brigham-young,REG,88,66,1,0
saint-marys-ca,loyola-marymount,REG,71,60,1,0
saint-marys-ca,santa-clara,REG,75,55,1,0
saint-marys-ca,san-diego,REG,76,59,1,0
saint-marys-ca,brigham-young,REG,66,71,0,1
saint-marys-ca,pepperdine,REG,77,84,0,1
saint-marys-ca,san-francisco,REG,86,80,1,0
saint-marys-ca,pacific,REG,78,66,1,0
saint-marys-ca,gonzaga,REG,46,94,0,1
saint-marys-ca,santa-clara,REG,66,55,1,0
saint-marys-ca,pepperdine,REG,72,65,1,0
saint-marys-ca,pacific,REG,58,32,1,0
saint-marys-ca,san-diego,REG,66,46,1,0
saint-marys-ca,portland,REG,65,48,1,0
saint-marys-ca,gonzaga,REG,55,69,0,1
saint-marys-ca,san-diego,CTOURN,69,62,1,0
saint-marys-ca,gonzaga,CTOURN,60,47,1,0
seton-hall,wagner,REG,89,49,1,0
seton-hall,nebraska,REG,57,80,0,1
seton-hall,saint-louis,REG,64,66,0,1
seton-hall,grand-canyon,REG,82,75,1,0
seton-hall,hawaii,REG,64,54,1,0
seton-hall,miami-fl,REG,83,81,1,0
seton-hall,louisville,REG,65,70,0,1
seton-hall,new-hampshire,REG,77,57,1,0
seton-hall,kentucky,REG,84,83,1,0
seton-hall,rutgers,REG,72,66,1,0
seton-hall,sacred-heart,REG,90,76,1,0
seton-hall,maryland,REG,78,74,1,0
seton-hall,st-johns-ny,REG,76,74,1,0
seton-hall,xavier,REG,80,70,1,0
seton-hall,depaul,REG,74,75,0,1
seton-hall,butler,REG,76,75,1,0
seton-hall,marquette,REG,66,70,0,1
seton-hall,providence,REG,63,72,0,1
seton-hall,depaul,REG,93,97,0,1
seton-hall,villanova,REG,52,80,0,1
seton-hall,providence,REG,65,63,1,0
seton-hall,butler,REG,68,70,0,1
seton-hall,creighton,REG,63,58,1,0
seton-hall,georgetown,REG,90,75,1,0
seton-hall,creighton,REG,81,75,1,0
seton-hall,xavier,REG,69,70,0,1
seton-hall,st-johns-ny,REG,70,78,0,1
seton-hall,georgetown,REG,71,77,0,1
seton-hall,marquette,REG,73,64,1,0
seton-hall,villanova,REG,79,75,1,0
seton-hall,georgetown,CTOURN,73,57,1,0
seton-hall,marquette,CTOURN,81,79,1,0
seton-hall,villanova,CTOURN,72,74,0,1
st-johns-ny,loyola-md,REG,76,55,1,0
st-johns-ny,bowling-green-state,REG,84,80,1,0
st-johns-ny,rutgers,REG,84,65,1,0
st-johns-ny,california,REG,82,79,1,0
st-johns-ny,virginia-commonwealth,REG,87,86,1,0
st-johns-ny,maryland-eastern-shore,REG,85,64,1,0
st-johns-ny,georgia-tech,REG,76,73,1,0
st-johns-ny,mount-st-marys,REG,85,71,1,0
st-johns-ny,princeton,REG,89,74,1,0
st-johns-ny,wagner,REG,73,58,1,0
st-johns-ny,st-francis-ny,REG,86,52,1,0
st-johns-ny,sacred-heart,REG,104,82,1,0
st-johns-ny,seton-hall,REG,74,76,0,1
st-johns-ny,marquette,REG,89,69,1,0
st-johns-ny,georgetown,REG,97,94,1,0
st-johns-ny,villanova,REG,71,76,0,1
st-johns-ny,depaul,REG,71,79,0,1
st-johns-ny,creighton,REG,81,66,1,0
st-johns-ny,butler,REG,71,80,0,1
st-johns-ny,georgetown,REG,78,89,0,1
st-johns-ny,creighton,REG,83,67,1,0
st-johns-ny,duke,REG,61,91,0,1
st-johns-ny,marquette,REG,70,69,1,0
st-johns-ny,providence,REG,56,70,0,1
st-johns-ny,butler,REG,77,73,1,0
st-johns-ny,villanova,REG,71,65,1,0
st-johns-ny,providence,REG,59,78,0,1
st-johns-ny,seton-hall,REG,78,70,1,0
st-johns-ny,xavier,REG,73,84,0,1
st-johns-ny,depaul,REG,83,92,0,1
st-johns-ny,xavier,REG,68,81,0,1
st-johns-ny,depaul,CTOURN,82,74,1,0
st-johns-ny,marquette,CTOURN,54,86,0,1
syracuse,eastern-washington,REG,66,34,1,0
syracuse,morehead-state,REG,84,70,1,0
syracuse,connecticut,REG,76,83,0,1
syracuse,oregon,REG,65,80,0,1
syracuse,colgate,REG,77,56,1,0
syracuse,ohio-state,REG,72,62,1,0
syracuse,cornell,REG,63,55,1,0
syracuse,northeastern,REG,72,49,1,0
syracuse,georgetown,REG,72,71,1,0
syracuse,old-dominion,REG,62,68,0,1
syracuse,buffalo,REG,59,71,0,1
syracuse,arkansas-state,REG,82,52,1,0
syracuse,st-bonaventure,REG,81,48,1,0
syracuse,notre-dame,REG,72,62,1,0
syracuse,clemson,REG,61,53,1,0
syracuse,georgia-tech,REG,59,73,0,1
syracuse,duke,REG,95,91,1,0
syracuse,pittsburgh,REG,74,63,1,0
syracuse,miami-fl,REG,73,53,1,0
syracuse,virginia-tech,REG,56,78,0,1
syracuse,boston-college,REG,77,71,1,0
syracuse,pittsburgh,REG,65,56,1,0
syracuse,florida-state,REG,62,80,0,1
syracuse,boston-college,REG,67,56,1,0
syracuse,north-carolina-state,REG,58,73,0,1
syracuse,louisville,REG,69,49,1,0
syracuse,duke,REG,65,75,0,1
syracuse,north-carolina,REG,85,93,0,1
syracuse,wake-forest,REG,79,54,1,0
syracuse,virginia,REG,53,79,0,1
syracuse,clemson,REG,55,67,0,1
syracuse,pittsburgh,CTOURN,73,59,1,0
syracuse,duke,CTOURN,72,84,0,1
temple,la-salle,REG,75,67,1,0
temple,detroit-mercy,REG,83,67,1,0
temple,georgia,REG,81,77,1,0
temple,loyola-md,REG,81,67,1,0
temple,virginia-commonwealth,REG,51,57,0,1
temple,california,REG,76,59,1,0
temple,missouri,REG,79,77,1,0
temple,saint-josephs,REG,77,70,1,0
temple,villanova,REG,59,69,0,1
temple,massachusetts,REG,65,63,1,0
temple,davidson,REG,77,75,1,0
temple,drexel,REG,82,64,1,0
temple,central-florida,REG,73,78,0,1
temple,wichita-state,REG,85,81,1,0
temple,houston,REG,73,69,1,0
temple,south-florida,REG,82,80,1,0
temple,east-carolina,REG,85,74,1,0
temple,pennsylvania,REG,70,77,0,1
temple,memphis,REG,85,76,1,0
temple,cincinnati,REG,68,72,0,1
temple,houston,REG,66,73,0,1
temple,tulane,REG,75,67,1,0
temple,connecticut,REG,81,63,1,0
temple,tulsa,REG,58,76,0,1
temple,southern-methodist,REG,82,74,1,0
temple,south-florida,REG,70,69,1,0
temple,tulsa,REG,84,73,1,0
temple,memphis,REG,73,81,0,1
temple,tulane,REG,80,69,1,0
temple,connecticut,REG,78,71,1,0
temple,central-florida,REG,67,62,1,0
temple,wichita-state,CTOURN,74,80,0,1
tennessee,lenoir-rhyne,REG,86,41,1,0
tennessee,louisiana-lafayette,REG,87,65,1,0
tennessee,georgia-tech,REG,66,53,1,0
tennessee,louisville,REG,92,81,1,0
tennessee,kansas,REG,81,87,0,1
tennessee,eastern-kentucky,REG,95,67,1,0
tennessee,texas-am-corpus-christi,REG,79,51,1,0
tennessee,gonzaga,REG,76,73,1,0
tennessee,memphis,REG,102,92,1,0
tennessee,samford,REG,83,70,1,0
tennessee,wake-forest,REG,83,64,1,0
tennessee,tennessee-tech,REG,96,53,1,0
tennessee,georgia,REG,96,50,1,0
tennessee,missouri,REG,87,63,1,0
tennessee,florida,REG,78,67,1,0
tennessee,arkansas,REG,106,87,1,0
tennessee,alabama,REG,71,68,1,0
tennessee,vanderbilt,REG,88,83,1,0
tennessee,west-virginia,REG,83,66,1,0
tennessee,south-carolina,REG,92,70,1,0
tennessee,texas-am,REG,93,76,1,0
tennessee,missouri,REG,72,60,1,0
tennessee,florida,REG,73,61,1,0
tennessee,south-carolina,REG,85,73,1,0
tennessee,kentucky,REG,69,86,0,1
tennessee,vanderbilt,REG,58,46,1,0
tennessee,louisiana-state,REG,80,82,0,1
tennessee,mississippi,REG,73,71,1,0
tennessee,kentucky,REG,71,52,1,0
tennessee,mississippi-state,REG,71,54,1,0
tennessee,auburn,REG,80,84,0,1
tennessee,mississippi-state,CTOURN,83,76,1,0
tennessee,kentucky,CTOURN,82,78,1,0
tennessee,auburn,CTOURN,64,84,0,1
texas-tech,incarnate-word,REG,87,37,1,0
texas-tech,mississippi-valley-state,REG,84,52,1,0
texas-tech,southeastern-louisiana,REG,59,40,1,0
texas-tech,southern-california,REG,78,63,1,0
texas-tech,nebraska,REG,70,52,1,0
texas-tech,northern-colorado,REG,93,62,1,0
texas-tech,memphis,REG,78,67,1,0
texas-tech,arkansas-pine-bluff,REG,65,47,1,0
texas-tech,northwestern-state,REG,79,44,1,0
texas-tech,abilene-christian,REG,82,48,1,0
texas-tech,duke,REG,58,69,0,1
texas-tech,texas-pan-american,REG,71,46,1,0
texas-tech,west-virginia,REG,62,59,1,0
texas-tech,kansas-state,REG,63,57,1,0
texas-tech,oklahoma,REG,66,59,1,0
texas-tech,texas,REG,68,62,1,0
texas-tech,iowa-state,REG,64,68,0,1
texas-tech,baylor,REG,62,73,0,1
texas-tech,kansas-state,REG,45,58,0,1
texas-tech,arkansas,REG,67,64,1,0
texas-tech,texas-christian,REG,84,65,1,0
texas-tech,kansas,REG,63,79,0,1
texas-tech,west-virginia,REG,81,50,1,0
texas-tech,oklahoma,REG,66,54,1,0
texas-tech,oklahoma-state,REG,78,50,1,0
texas-tech,baylor,REG,86,61,1,0
texas-tech,kansas,REG,91,62,1,0
texas-tech,oklahoma-state,REG,84,80,1,0
texas-tech,texas-christian,REG,81,66,1,0
texas-tech,texas,REG,70,51,1,0
texas-tech,iowa-state,REG,80,73,1,0
texas-tech,west-virginia,CTOURN,74,79,0,1
utah-state,montana-state,REG,101,71,1,0
utah-state,hartford,REG,100,73,1,0
utah-state,mississippi-valley-state,REG,94,59,1,0
utah-state,utah-valley,REG,65,46,1,0
utah-state,saint-marys-ca,REG,80,63,1,0
utah-state,arizona-state,REG,82,87,0,1
utah-state,northern-iowa,REG,71,52,1,0
utah-state,california-irvine,REG,89,65,1,0
utah-state,brigham-young,REG,80,95,0,1
utah-state,weber-state,REG,76,67,1,0
utah-state,alabama-state,REG,86,48,1,0
utah-state,houston,REG,50,60,0,1
utah-state,eastern-oregon,REG,84,57,1,0
utah-state,nevada,REG,49,72,0,1
utah-state,air-force,REG,79,62,1,0
utah-state,fresno-state,REG,77,78,0,1
utah-state,wyoming,REG,71,55,1,0
utah-state,san-jose-state,REG,81,63,1,0
utah-state,colorado-state,REG,87,72,1,0
utah-state,new-mexico,REG,68,66,1,0
utah-state,san-jose-state,REG,103,73,1,0
utah-state,nevada-las-vegas,REG,82,65,1,0
utah-state,fresno-state,REG,82,81,1,0
utah-state,san-diego-state,REG,63,68,0,1
utah-state,wyoming,REG,76,59,1,0
utah-state,air-force,REG,76,62,1,0
utah-state,new-mexico,REG,71,55,1,0
utah-state,boise-state,REG,78,71,1,0
utah-state,san-diego-state,REG,70,54,1,0
utah-state,nevada,REG,81,76,1,0
utah-state,colorado-state,REG,100,96,1,0
utah-state,new-mexico,CTOURN,91,83,1,0
utah-state,fresno-state,CTOURN,85,60,1,0
utah-state,san-diego-state,CTOURN,64,57,1,0
vermont,boston-university,REG,78,72,1,0
vermont,kansas,REG,68,84,0,1
vermont,lyndon-state,REG,122,56,1,0
vermont,louisville,REG,78,86,0,1
vermont,yale,REG,79,70,1,0
vermont,bucknell,REG,61,69,0,1
vermont,george-washington,REG,69,53,1,0
vermont,towson,REG,70,64,1,0
vermont,george-mason,REG,72,67,1,0
vermont,harvard,REG,71,65,1,0
vermont,northeastern,REG,75,70,1,0
vermont,st-bonaventure,REG,83,76,1,0
vermont,lipscomb,REG,66,91,0,1
vermont,dartmouth,REG,73,59,1,0
vermont,albany-ny,REG,80,51,1,0
vermont,maine,REG,73,49,1,0
vermont,hartford,REG,81,62,1,0
vermont,new-hampshire,REG,73,59,1,0
vermont,binghamton,REG,78,50,1,0
vermont,maryland-baltimore-county,REG,61,74,0,1
vermont,stony-brook,REG,73,52,1,0
vermont,massachusetts-lowell,REG,74,65,1,0
vermont,maine,REG,86,63,1,0
vermont,albany-ny,REG,67,49,1,0
vermont,new-hampshire,REG,73,44,1,0
vermont,hartford,REG,77,75,1,0
vermont,maryland-baltimore-county,REG,56,65,0,1
vermont,binghamton,REG,69,63,1,0
vermont,stony-brook,REG,56,50,1,0
vermont,massachusetts-lowell,REG,74,57,1,0
vermont,maine,CTOURN,73,57,1,0
vermont,binghamton,CTOURN,84,51,1,0
vermont,maryland-baltimore-county,CTOURN,66,49,1,0
villanova,morgan-state,REG,100,77,1,0
villanova,quinnipiac,REG,86,53,1,0
villanova,michigan,REG,46,73,0,1
villanova,furman,REG,68,76,0,1
villanova,canisius,REG,83,56,1,0
villanova,oklahoma-state,REG,77,58,1,0
villanova,florida-state,REG,66,60,1,0
villanova,la-salle,REG,85,78,1,0
villanova,temple,REG,69,59,1,0
villanova,saint-josephs,REG,70,58,1,0
villanova,pennsylvania,REG,75,78,0,1
villanova,kansas,REG,71,74,0,1
villanova,connecticut,REG,81,58,1,0
villanova,depaul,REG,73,68,1,0
villanova,providence,REG,65,59,1,0
villanova,st-johns-ny,REG,76,71,1,0
villanova,creighton,REG,90,78,1,0
villanova,xavier,REG,85,75,1,0
villanova,butler,REG,80,72,1,0
villanova,seton-hall,REG,80,52,1,0
villanova,depaul,REG,86,74,1,0
villanova,georgetown,REG,77,65,1,0
villanova,creighton,REG,66,59,1,0
villanova,marquette,REG,65,66,0,1
villanova,providence,REG,85,67,1,0
villanova,st-johns-ny,REG,65,71,0,1
villanova,georgetown,REG,73,85,0,1
villanova,xavier,REG,54,66,0,1
villanova,marquette,REG,67,61,1,0
villanova,butler,REG,75,54,1,0
villanova,seton-hall,REG,75,79,0,1
villanova,providence,CTOURN,73,62,1,0
villanova,xavier,CTOURN,71,67,1,0
villanova,seton-hall,CTOURN,74,72,1,0
virginia-commonwealth,gardner-webb,REG,69,57,1,0
virginia-commonwealth,hampton,REG,69,57,1,0
virginia-commonwealth,bowling-green-state,REG,72,61,1,0
virginia-commonwealth,temple,REG,57,51,1,0
virginia-commonwealth,st-johns-ny,REG,86,87,0,1
virginia-commonwealth,hofstra,REG,69,67,1,0
virginia-commonwealth,old-dominion,REG,52,62,0,1
virginia-commonwealth,iona,REG,88,59,1,0
virginia-commonwealth,texas,REG,54,53,1,0
virginia-commonwealth,virginia,REG,49,57,0,1
virginia-commonwealth,college-of-charleston,REG,79,83,0,1
virginia-commonwealth,wichita-state,REG,70,54,1,0
virginia-commonwealth,rider,REG,90,79,1,0
virginia-commonwealth,fordham,REG,76,51,1,0
virginia-commonwealth,la-salle,REG,69,63,1,0
virginia-commonwealth,davidson,REG,57,64,0,1
virginia-commonwealth,dayton,REG,76,71,1,0
virginia-commonwealth,massachusetts,REG,68,50,1,0
virginia-commonwealth,rhode-island,REG,65,71,0,1
virginia-commonwealth,duquesne,REG,80,74,1,0
virginia-commonwealth,george-mason,REG,79,63,1,0
virginia-commonwealth,george-washington,REG,60,50,1,0
virginia-commonwealth,st-bonaventure,REG,85,55,1,0
virginia-commonwealth,richmond,REG,81,60,1,0
virginia-commonwealth,dayton,REG,69,68,1,0
virginia-commonwealth,rhode-island,REG,76,42,1,0
virginia-commonwealth,george-washington,REG,85,57,1,0
virginia-commonwealth,saint-louis,REG,71,65,1,0
virginia-commonwealth,richmond,REG,69,66,1,0
virginia-commonwealth,george-mason,REG,71,36,1,0
virginia-commonwealth,saint-josephs,REG,75,63,1,0
virginia-commonwealth,rhode-island,CTOURN,70,75,0,1
virginia-tech,gardner-webb,REG,87,59,1,0
virginia-tech,ball-state,REG,73,64,1,0
virginia-tech,northeastern,REG,88,60,1,0
virginia-tech,purdue,REG,89,83,1,0
virginia-tech,saint-francis-pa,REG,75,37,1,0
virginia-tech,penn-state,REG,62,63,0,1
virginia-tech,central-connecticut-state,REG,94,40,1,0
virginia-tech,virginia-military-institute,REG,89,68,1,0
virginia-tech,south-carolina-state,REG,81,44,1,0
virginia-tech,washington,REG,73,61,1,0
virginia-tech,north-carolina-at,REG,82,60,1,0
virginia-tech,maryland-eastern-shore,REG,85,40,1,0
virginia-tech,notre-dame,REG,81,66,1,0
virginia-tech,boston-college,REG,77,66,1,0
virginia-tech,georgia-tech,REG,52,49,1,0
virginia-tech,virginia,REG,59,81,0,1
virginia-tech,wake-forest,REG,87,71,1,0
virginia-tech,north-carolina,REG,82,103,0,1
virginia-tech,syracuse,REG,78,56,1,0
virginia-tech,miami-fl,REG,82,70,1,0
virginia-tech,north-carolina-state,REG,47,24,1,0
virginia-tech,louisville,REG,64,72,0,1
virginia-tech,clemson,REG,51,59,0,1
virginia-tech,georgia-tech,REG,76,68,1,0
virginia-tech,pittsburgh,REG,70,64,1,0
virginia-tech,virginia,REG,58,64,0,1
virginia-tech,notre-dame,REG,67,59,1,0
virginia-tech,duke,REG,77,72,1,0
virginia-tech,florida-state,REG,64,73,0,1
virginia-tech,miami-fl,REG,84,70,1,0
virginia-tech,miami-fl,CTOURN,71,56,1,0
virginia-tech,florida-state,CTOURN,63,65,0,1
virginia,towson,REG,73,42,1,0
virginia,george-washington,REG,76,57,1,0
virginia,coppin-state,REG,97,40,1,0
virginia,middle-tennessee,REG,74,52,1,0
virginia,dayton,REG,66,59,1,0
virginia,wisconsin,REG,53,46,1,0
virginia,maryland,REG,76,71,1,0
virginia,morgan-state,REG,83,45,1,0
virginia,virginia-commonwealth,REG,57,49,1,0
virginia,south-carolina,REG,69,52,1,0
virginia,william-mary,REG,72,40,1,0
virginia,marshall,REG,100,64,1,0
virginia,florida-state,REG,65,52,1,0
virginia,boston-college,REG,83,56,1,0
virginia,clemson,REG,63,43,1,0
virginia,virginia-tech,REG,81,59,1,0
virginia,duke,REG,70,72,0,1
virginia,wake-forest,REG,68,45,1,0
virginia,notre-dame,REG,82,55,1,0
virginia,north-carolina-state,REG,66,65,1,0
virginia,miami-fl,REG,56,46,1,0
virginia,duke,REG,71,81,0,1
virginia,north-carolina,REG,69,61,1,0
virginia,notre-dame,REG,60,54,1,0
virginia,virginia-tech,REG,64,58,1,0
virginia,louisville,REG,64,52,1,0
virginia,georgia-tech,REG,81,51,1,0
virginia,pittsburgh,REG,73,49,1,0
virginia,syracuse,REG,79,53,1,0
virginia,louisville,REG,73,68,1,0
virginia,north-carolina-state,CTOURN,76,56,1,0
virginia,florida-state,CTOURN,59,69,0,1
washington,western-kentucky,REG,73,55,1,0
washington,auburn,REG,66,88,0,1
washington,san-diego,REG,66,63,1,0
washington,santa-clara,REG,82,68,1,0
washington,texas-am,REG,71,67,1,0
washington,minnesota,REG,66,68,0,1
washington,eastern-washington,REG,83,59,1,0
washington,california-santa-barbara,REG,67,63,1,0
washington,gonzaga,REG,79,81,0,1
washington,seattle,REG,70,62,1,0
washington,virginia-tech,REG,61,73,0,1
washington,sacramento-state,REG,57,41,1,0
washington,cal-state-fullerton,REG,84,76,1,0
washington,washington-state,REG,85,67,1,0
washington,utah,REG,69,53,1,0
washington,colorado,REG,77,70,1,0
washington,stanford,REG,80,64,1,0
washington,california,REG,71,52,1,0
washington,oregon,REG,61,56,1,0
washington,oregon-state,REG,79,69,1,0
washington,southern-california,REG,75,62,1,0
washington,ucla,REG,69,55,1,0
washington,arizona,REG,67,60,1,0
washington,arizona-state,REG,63,75,0,1
washington,washington-state,REG,72,70,1,0
washington,utah,REG,62,45,1,0
washington,colorado,REG,64,55,1,0
washington,california,REG,73,76,0,1
washington,stanford,REG,62,61,1,0
washington,oregon-state,REG,81,76,1,0
washington,oregon,REG,47,55,0,1
washington,southern-california,CTOURN,78,75,1,0
washington,colorado,CTOURN,66,61,1,0
washington,oregon,CTOURN,48,68,0,1
wisconsin,coppin-state,REG,85,63,1,0
wisconsin,xavier,REG,77,68,1,0
wisconsin,houston-baptist,REG,96,59,1,0
wisconsin,stanford,REG,62,46,1,0
wisconsin,oklahoma,REG,78,58,1,0
wisconsin,virginia,REG,46,53,0,1
wisconsin,north-carolina-state,REG,79,75,1,0
wisconsin,iowa,REG,72,66,1,0
wisconsin,rutgers,REG,69,64,1,0
wisconsin,marquette,REG,69,74,0,1
wisconsin,savannah-state,REG,101,60,1,0
wisconsin,grambling,REG,84,53,1,0
wisconsin,western-kentucky,REG,76,83,0,1
wisconsin,minnesota,REG,52,59,0,1
wisconsin,penn-state,REG,71,52,1,0
wisconsin,purdue,REG,80,84,0,1
wisconsin,maryland,REG,60,64,0,1
wisconsin,michigan,REG,64,54,1,0
wisconsin,illinois,REG,72,60,1,0
wisconsin,northwestern,REG,62,46,1,0
wisconsin,nebraska,REG,62,51,1,0
wisconsin,maryland,REG,69,61,1,0
wisconsin,minnesota,REG,56,51,1,0
wisconsin,michigan,REG,52,61,0,1
wisconsin,michigan-state,REG,59,67,0,1
wisconsin,illinois,REG,64,58,1,0
wisconsin,northwestern,REG,69,64,1,0
wisconsin,indiana,REG,73,75,0,1
wisconsin,penn-state,REG,61,57,1,0
wisconsin,iowa,REG,65,45,1,0
wisconsin,ohio-state,REG,73,67,1,0
wisconsin,nebraska,CTOURN,66,62,1,0
wisconsin,michigan-state,CTOURN,55,67,0,1
wofford,north-carolina,REG,67,78,0,1
wofford,high-point,REG,68,60,1,0
wofford,carver-bible,REG,94,35,1,0
wofford,oklahoma,REG,64,75,0,1
wofford,coppin-state,REG,99,65,1,0
wofford,mars-hill,REG,97,46,1,0
wofford,south-carolina,REG,81,61,1,0
wofford,east-tennessee-state,REG,79,62,1,0
wofford,kansas,REG,47,72,0,1
wofford,kentucky-christian,REG,112,58,1,0
wofford,coastal-carolina,REG,82,71,1,0
wofford,north-carolina-asheville,REG,92,49,1,0
wofford,mississippi-state,REG,87,98,0,1
wofford,western-carolina,REG,74,54,1,0
wofford,citadel,REG,112,81,1,0
wofford,mercer,REG,78,74,1,0
wofford,north-carolina-greensboro,REG,72,43,1,0
wofford,virginia-military-institute,REG,90,76,1,0
wofford,furman,REG,59,54,1,0
wofford,samford,REG,107,106,1,0
wofford,chattanooga,REG,80,69,1,0
wofford,mercer,REG,76,67,1,0
wofford,citadel,REG,99,61,1,0
wofford,east-tennessee-state,REG,78,76,1,0
wofford,western-carolina,REG,83,56,1,0
wofford,virginia-military-institute,REG,95,84,1,0
wofford,north-carolina-greensboro,REG,80,50,1,0
wofford,furman,REG,72,64,1,0
wofford,chattanooga,REG,80,54,1,0
wofford,samford,REG,85,64,1,0
wofford,virginia-military-institute,CTOURN,99,72,1,0
wofford,east-tennessee-state,CTOURN,81,72,1,0
wofford,north-carolina-greensboro,CTOURN,70,58,1,0
yale,california,REG,76,59,1,0
yale,memphis,REG,102,109,0,1
yale,vermont,REG,70,79,0,1
yale,bryant,REG,103,61,1,0
yale,miami-fl,REG,77,73,1,0
yale,lehigh,REG,97,87,1,0
yale,duke,REG,58,91,0,1
yale,albany-ny,REG,71,63,1,0
yale,monmouth,REG,66,58,1,0
yale,iona,REG,99,84,1,0
yale,kennesaw-state,REG,92,65,1,0
yale,cal-state-northridge,REG,94,90,1,0
yale,skidmore,REG,88,59,1,0
yale,brown,REG,70,67,1,0
yale,brown,REG,79,71,1,0
yale,harvard,REG,49,65,0,1
yale,dartmouth,REG,89,68,1,0
yale,princeton,REG,74,60,1,0
yale,pennsylvania,REG,78,65,1,0
yale,columbia,REG,70,64,1,0
yale,cornell,REG,98,92,1,0
yale,dartmouth,REG,77,59,1,0
yale,harvard,REG,86,88,0,1
yale,cornell,REG,88,65,1,0
yale,columbia,REG,75,83,0,1
yale,pennsylvania,REG,66,77,0,1
yale,princeton,REG,81,59,1,0
yale,princeton,CTOURN,83,77,1,0
yale,harvard,CTOURN,97,85,1,0
